frec(GHz)	Temperatura[mK]	cont_sinlineas
71.727	0.0	0.0
71.758	0.0	0.0
71.789	0.0	0.0
71.821	0.0	0.0
71.852	0.0	0.0
71.883	0.0	0.0
71.914	0.0	0.0
71.946	0.0	0.0
71.977	0.0	0.0
72.008	0.0	0.0
72.039	0.0	0.0
72.071	0.0	0.0
72.102	0.0	0.0
72.133	0.0	0.0
72.164	0.0	0.0
72.196	0.0	0.0
72.227	0.0	0.0
72.258	0.0	0.0
72.289	0.0	0.0
72.321	0.0	0.0
72.352	0.0	0.0
72.383	0.0	0.0
72.414	0.0	0.0
72.446	0.0	0.0
72.477	0.0	0.0
72.508	0.0	0.0
72.539	0.0	0.0
72.571	0.0	0.0
72.602	0.0	0.0
72.633	0.0	0.0
72.664	0.0	0.0
72.696	0.0	0.0
72.727	0.0	0.0
72.758	0.0	0.0
72.789	0.0	0.0
72.821	0.0	0.0
72.852	0.0	0.0
72.883	0.0	0.0
72.915	-0.180977	-0.180977
72.946	-0.00789667	-0.00789667
72.977	0.367054	0.367054
73.008	0.547741	0.547741
73.04	-0.947666	-0.947666
73.071	-0.00562787	-0.00562787
73.102	0.601813	0.601813
73.133	-1.08915	-1.08915
73.165	0.333268	0.333268
73.196	1.42149	1.42149
73.227	-0.945905	-0.945905
73.258	-0.606131	-0.606131
73.29	-0.460929	-0.460929
73.321	1.77565	1.77565
73.352	0.0983787	0.0983787
73.383	-1.02094	-1.02094
73.415	-0.612801	-0.612801
73.446	0.343877	0.343877
73.477	0.449116	0.449116
73.508	0.20426	0.20426
73.54	0.0242567	0.0242567
73.571	0.465453	-0.150675
73.602	2.37314	-0.0282918
73.633	-0.325343	-0.325343
73.665	0.460582	0.460582
73.696	-0.986288	-0.986288
73.727	0.817924	0.817924
73.758	0.158371	0.158371
73.79	-0.423882	-0.423882
73.821	0.69528	0.69528
73.852	-0.374685	-0.374685
73.883	-0.883596	-0.883596
73.915	0.989005	0.989005
73.946	-0.0978503	-0.0978503
73.977	-0.139034	-0.139034
74.008	-0.386	-0.386
74.04	0.851835	0.851835
74.071	-0.369564	-0.369564
74.102	-0.175771	-0.175771
74.133	-0.721614	0.0638441
74.165	1.0608	0.116451
74.196	-0.166683	-0.166683
74.227	-0.379632	-0.379632
74.258	0.617425	0.617425
74.29	0.0335133	0.0335133
74.321	-0.241676	-0.241676
74.352	-0.175428	-0.175428
74.383	0.233877	0.233877
74.415	0.450511	0.450511
74.446	-0.487444	-0.487444
74.477	1.19468	-0.180335
74.508	1.88974	0.0250199
74.54	0.335257	0.0639136
74.571	0.11492	0.11492
74.602	0.0507383	0.0507383
74.633	0.241983	0.241983
74.665	-0.429862	-0.429862
74.696	0.249021	0.249021
74.727	-0.762785	-0.762785
74.758	1.41297	1.41297
74.79	-0.616149	-0.616149
74.821	-0.153115	-0.153115
74.852	-1.17949	-1.17949
74.884	1.03151	1.03151
74.915	0.921669	0.921669
74.946	-0.0848328	-0.0848328
74.977	-0.852656	-0.852656
75.009	-0.376866	-0.376866
75.04	0.308655	0.308655
75.071	0.448299	0.448299
75.102	0.0694923	0.0694923
75.134	-0.0780394	-0.0780394
75.165	-0.872954	-0.872954
75.196	0.278304	0.278304
75.227	0.987125	0.987125
75.259	-0.346277	-0.346277
75.29	-0.402387	-0.402387
75.321	-0.201787	-0.201787
75.352	0.529226	0.529226
75.384	0.00275058	0.00275058
75.415	-0.630613	-0.630613
75.446	0.709787	0.709787
75.477	0.933471	0.933471
75.509	-1.51886	-1.51886
75.54	-0.731624	-0.731624
75.571	0.529968	0.529968
75.602	0.886911	0.886911
75.634	0.148363	0.148363
75.665	-0.789153	-0.789153
75.696	0.405484	0.405484
75.727	0.200327	0.200327
75.759	0.0775229	0.0775229
75.79	-0.710045	-0.710045
75.821	-0.304073	-0.304073
75.852	0.570438	0.570438
75.884	1.3294	0.333845
75.915	1.20798	-0.138364
75.946	-1.63499	-0.23891
75.977	-0.330515	-0.330515
76.009	0.716904	0.716904
76.04	-0.378019	-0.378019
76.071	0.383086	0.383086
76.102	-0.357889	-0.357889
76.134	-0.382144	-0.382144
76.165	0.387758	0.387758
76.196	0.638686	0.638686
76.227	-0.588712	-0.588712
76.259	-0.916184	-0.916184
76.29	1.32026	1.32026
76.321	0.172536	0.172536
76.352	-0.595829	-0.595829
76.384	0.355189	-0.225456
76.415	1.56517	0.0737598
