Species	Resolved QNs	Freq-GHz(rest frame,redshifted)	CDMS/JPL Intensity
COv=1	1-0	114.222	-9.7069
C4Hv7=1	N=12,J=25/2-23/2	115.217	-3.8952
CN	N=1-0,J=3/2-1/2	113.5	-3.7962
CN	N=1-0,J=1/2-1/2	113.17	-3.809
CN	N=1-0,J=3/2-1/2	113.488	-3.6932
CN	N=1-0,J=1/2-1/2	113.191	-3.6955
CN	N=1-0,J=1/2-1/2	113.144	-3.7989
C4Hv7=1	N=12,J=23/2-21/2	112.923	-3.9847
Si13CC	5(0,5)-4(0,4)	112.593	-3.6758
CNv=1	N=1-0,J=3/2-1/2	112.473	-8.9687
CH3CHO,1&2	6(1,6)-5(1,5)E,vt=0	112.255	-4.1737
CH3CN	6(0)-5(0)	110.384	-3.4294
HNCO	5(1,4)-4(1,3)	110.298	-5.3719
13CO	1-0	110.201	-5.0662
HNCO	5(0,5)-4(0,4)	109.906	-7.2902
CH3CHO,1&2	34(9,25)-35(8,28)A,vt=1	109.765	-6.3463
HNCO	5(1,5)-4(1,4)	109.496	-7.3738
CH3CHO,1&2	20(5,15)-21(4,18)E,vt=2	109.273	-6.1543
CH3CHO,1&2	5(1,4)-4(1,4)E,vt=0	109.584	-7.4854
CH3CHO,1&2	7(2,6)-8(1,7)A,vt=2	109.448	-6.0529
HC3N	J=12-11	109.172	-4.6966
CH3CHO,1&2	23(2,21)-22(3,20)A,vt=2	108.42	-5.8682
HC3Nv2=1	12-11	108.656	-6.8167
H2CO	22(3,19)-22(3,20)	100.511	-5.0018
HC3Nv7=1	J=11-10	100.466	-2.6343
HC3Nv6=1	J=11-10	100.319	-3.2091
HC3N	J=11-10	100.076	-2.6878
HC3N	J=11-10	100.075	-4.7272
HC3Nv7=1	J=124	97.65	-10.3574
CH3OHvt=0-2	2(0,2)-1(0,1)A,vt=0	96.741	-4.9699
CH3OHvt=0-2	2(1,2)-1(1,1)A,vt=1	96.396	-5.5676
CH3OHvt=0-2	35(6,29)-36(5,31)A,vt=2	94.004	-10.5792
CH3CN	5(1)-4(1)	91.987	-5.1481
HC3Nv7=1	J=10-9	91.333	-2.7525
HC3Nv6=1	J=10-9	91.2	-3.3273
HC3N	J=10-9	90.979	-2.8102
HC3Nv3=1	10-9	90.7	-6.6335
CH3CNv8=1	J=71-71,lK=-1-1	89.339	-9.5594
HCN	J=1-0	88.632	-2.5126
HNCO	4(0,4)-3(0,3)	87.925	-7.184
CH3CNv8=1	J=42-42,K=3-1	87.012	-8.1571
CH3CNv8=1	J=42-42,K=3-1	87.012	-8.1571
H13CN	J=1-0	86.34	-2.5489
CH3OHvt=0-2	5(1,5)-4(-0,4)E,vt=0	84.521	-4.8557
CH3OHvt=0-2	9(2,7)-9(-1,8)E,vt=0	101.737	-6.0889
C6H	J=73/2-71/2	101.874	-6.131
CH3OHvt=0-2	30(14)-31(16)E1vt=1-vt=0	83.637	-10.0435
HC3Nv7=1	J=9-8	82.2	-2.8848
HC3Nv6=1	J=9-8	82.08	-3.4596
HC3N	J=9-8	81.88	-4.8017
CH3OHvt=0-2	25(13)+-26(12)+vt=1	84.989	-6.45
CH3CNv8=1	J=51-51,K=3-1	93.52	-8.4501
CH3OHvt=0-2	7(5,3)-6(2,4)E,vt=2	95.209	-12.8724
CH3OHvt=0-2	13(-2,12)-12(-3,10)E,vt=0	100.639	-4.8879
H2CS	3(1,3)-2(1,2)	101.478	-3.6338
NH2CN	38(3,36)-38(2,36),v=0-1	80.537	-5.3105
H2CS	3(2,2)-2(2,1)	103.04	-4.3591
HC5N	J=39-38	103.837	-2.0924
CH3OHvt=0-2	20(2,19)-19(4,15)E,vt=1	104.032	-8.8998
CH3OHvt=0-2	13(3,11)-12(1,11)A,vt=2	104.603	-12.0486
HC5N	J=38-37	101.175	-2.119
CH2CN	4(0,4)-3(0,3),J+F=5-4,S=7-8	80.504	-6.4229
CH2CN	4(0,4)-3(0,3),J+F=5-5,S=9-4	80.479	-5.8578
C4Hv7=1	J=17/2-15/2	84.123	-4.2449
C6H	J=61/2-59/2	85.131	-6.17
C6H	J=61/2-59/2	85.175	-6.1696
CH2CHCNv11=1	9(2,7)-8(2,6)	85.987	-4.8146
HCNv2=2	J=1-0	89.088	-5.7301
CH3CNv8=1	J=5-4,lK=-1-1	92.353	-4.0422
CH313CN	5(0)-4(0)	91.942	-3.6701
CH3CNv8=1	J=45-45,K=3-1	88.834	-8.2377
CH3OCHOv=1	45(24,22)-46(23,23)A	91.374	-7.8726
CH3OCH3	3(2,2)-3(1,3)EA	91.474	-6.3045
13CS	J=2-1	92.494	-3.9762
CH3OCH3	16(2,14)-16(1,15)EE	95.731	-4.9236
CH3OCH3	56(6,50)-55(9,47)EA	97.047	-8.817
C33S	2-1	97.172	-2.736
CH3OCH3	28(7,21)-27(8,20)EA	97.297	-6.435
CH3CHO,1&2	35(5,30)-36(3,34)E,vt=1	114.622	-8.3891
C6H	J=63/2-61/2	87.967	-6.1616
HCCN	N=4-3,J=3-2	88.211	-3.1148
C4Hv7=1	N=11,J=21/2-19/2	103.576	-4.0942
CH3OHvt=0-2	36(14)-35(17)E1vt=1-vt=0	104.26	-9.4907
C4Hv7=20	N=11-10,J=23/2-21/2	105.174	-4.1996
CH3OHvt=0-2	6(-1,6)-5(-0,5)E,vt=1	99.731	-5.1374
HC3Nv4=1	11-10	99.939	-3.9875
CH3CN	4(1)-3(1)	73.588	-5.2496
CH3CN	4(2)-3(2)	73.584	-5.3776
C6H	J=53/2-51/2	73.968	-6.2089
C4Hv7=1	J=15/2-13/2	74.141	-4.4039
CH3CNv8=1	J=65-65,lK=-1-1	75.193	-9.1462
CH3OHvt=0-2	13(5,9)-14(4,11)E,vt=0	75.515	-5.37
CH3OHvt=0-2	11(1,10)-10(2,9)A,vt=0	76.247	-5.0099
CH3OHvt=0-2	34(-0,34)-34(1,34)E,vt=0	76.406	-7.271
CH3OHvt=0-2	5(-0,5)-4(-1,3)E,vt=0	76.51	-5.165
HC5N	J=29-28	77.214	-2.4154
CH3OCHOv=1	28(16,12)-29(15,14)E	78.478	-7.3832
CH3OCHOv=1	28(16,12)-29(15,14)E	78.478	-7.3832
CH3CH2CN	9(1,9)-8(1,8)	78.184	-4.3525
CH3CH2CN	91(20,71)-92(19,74)	78.393	-7.8773
CCCN	N=8-7,J=15/2-13/2	79.167	-5.4762
CH3OCH3	16(3,14)-15(4,11)EA	97.996	-6.2313
CH3OHvt=0-2	30(5,26)-29(6,23)E,vt=0	98.268	-5.9222
CH3OHvt=0-2	3(1,3)-4(0,4)A,vt=0	107.014	-4.6431
13CH3CN	6(4)-5(4)	107.164	-5.345
CH3CNv8=1	J=6-5,lK=-(0)--(0)	110.712	-3.8038
NH2CHO	5(0,5)-4(0,4)	105.464	-7.1928
NH2CHO	5(0,5)-4(0,4)	105.465	-5.1964
CH3OHvt=0-2	14(2,12)-14(-1,13)E,vt=0	105.576	-5.2297
CH3OCH3	13(1,12)-13(0,13)EE	105.77	-4.8427
