Molecule        Transition      Rest_Freq
NS	5/3-3/2	115.570
CO      1-0           115.271
C4H   25-23    115.216
CN      3/2-1/2       113.50
CN      1/2-1/2       113.17
CCS	9-8    113.410
CH4	23/2-21/2  113.266
CN      1-0     113.191
CN      1-0 	113.144
C4H 	23/2-21/2  112.922
Si13CC 	5(0,5)-4(0,4)  112.59344
C17O	1-0	112.358988
CH3CHO  6-5    112.254
CH3CN   6-5       110.3835
HNCO   5-4 110.2981
13CO    1-0   110.2014
HNCO    5-4     109.9058
C18O    1-0   109.757
HNCO    5-4     109.496
SO      3-2     109.2522
HC3N    12-11v7 109.60
HC3N    12-11v7 109.44
HC3N    12-11 109.173
CH30H  0-1       108.8939
13CN   1-0     108.4269
13CN   1-0     108.6513
H      39ALPHA    106.7374
CH3C2H   BLEND    102.5470
H2CO    6(1-5)  101.332
HC3N    12-11v7 100.47
HC3N    12-11v7 100.32
HC3N    11-10 100.0764
SO      5-4   100.0296
S0      3-2       99.2999
H       40ALPHA   99.0230
CS      2-1   97.981
CH3OH   BLEND    96.7414
C34S    2-1    96.4129
PO      2-1       93.9797
N2H+    1-0   93.1737
H       41ALPHA  92.0345
CH3CN   5-4   91.987
HC3N    10-9v7  91.33
HC3N    10-9v7  91.20
HC3N    10-9  90.979
HNC     1-0   90.6635
HOC+    1-0     89.4874
HCO+    1-0   89.1886
HCN     1-0   88.6318
HNCO    4-3      87.9252
C2H     blend   87.32
C2H     blend  87.407
C2H     blend  87.446
HN13C   1-0      87.0908
Si0     2-1      86.847
H13CO+  1-0       86.7543
HCO   2-1     86.6708
H13CN   1-0       86.3402
H       42ALPHA   85.6884
CH3C2H  BLEND     85.4557
C3H2    2-1       85.3389
CH3OH   5-4       84.5211
CH3OH   9-9       101.737
C6H     76-71   101.873
CH+     1-0     83.707
HC3N    9-8v7   82.20
HC3N    9-8v7   82.08
HC3N    9-8   81.88
H       43alpha   79.9127
H       44alpha   74.6446
13CH3OH 8-7    84.970
13CH3OH 2-1    93.619
13CH3OH 8-7    95.208
U 	27-26  	82.787
CH3OH 	13-12 100.638870
H2CS 3-2 101.47788
HCCCCN    blend  92.09
HCCCCN    blend  96.696
NH2CN    4-3     80.5046
C2S      6-5    81.505
H2CS  3-2   103.0402
HC5N  39-38   103.837
SO2  3-2   104.029
H2CS  3-2  104.617
HC5N 38-37  101.175
C2S  8-7  106.3497
CH2CN   blend   80.504
CH2CN  blend   80.479
C4H  17-15  84.123
C6H  61/2-59/2 85.132
C6H  61/2-59/2 85.175
C3H2  2-1  85.339
CH2CHCN  9-8  85.987
HCN  2-1  89.087
CH3CN 	5-4  92.354
CH313CN  5(0)-4(0)  91.9416
CH3OCHO   7-6   88.843
C5H  37-35 88.914
CH3OCHO 9-9 91.366
CH3OCH3 3-3 91.474
C3S  16-15  92.488
(CH3)2CO 9-8 92.714
(CH3)2CO 9-8 92.728
(CH3)2CO 9-8 92.736
13CS  2-1  92.494
CH3OCH3 16-16 95.732
C3N-  10-9  97.030
C33S  2-1  97.172
OCS 8-7 97.301
C6H 3/2 114.615
C6H 63-61  87.967598
HCCN  4-3 88.212
C5H 37-35  88.321
C4H 21-19 103.576
SO2  10-10 104.239
C4H  11-10  105.174
CH3OH 6-5  99.730
NH2CN  5-4 99.972
K35Cl  13-12 99.929
CH3CN 4-3 73.588
CH3CN 4-3 73.584
C6H 53-51 73.967
C5H 31-29 73.993
C5H 31-29 73.998
C4H 15-13 74.141
C5H 31-29 74.497
CCCS  13-12 75.147
CH3OH 13-14 75.515
CH3OCH 12-12 75.908
CH3OH 11-10 76.247
SO2 10-9 76.412
CH3OH 5-4 76.510
HC5N 29-28 77.214
CH3OCHO 7-6 78.479
CH3OCHO 7-6 78.481
CH3CH2CN 9-8 78.184
34SO2 8-9 78.397
CCCN 8-7 79.1669
CH3OH 24-23 98.012
CCCS 17-16 98.269
C5H 41-39 98.525
(CH3)2CO 5-4 98.651
(CH3)2CO 5-4 98.801
CH3OH  3-4 107.014
13CH3CN 6-5 107.164
CH3CN  6-5 110.712
NH2CHO 5-4 105.464
CH3CH2CN 12-11 105.469
CH3OH 14-14 105.576
CH3OCH3  13-13 105.770
CH2NH  4-3 105.794
C4H  1-0_23-21 105.838
HCCC15H 12-11 105.998
CH3OCHO V=036-35 80.0564
HCCNC V=09-8BLEND 89.4193
CH3CH2CN V=010-9BLEND 89.563
CH3OCHO V=057-56BLEND 90.4528
ALCL  v=07-6BLEND  102.04
(CH3)2CO v=06-5blend  79.681
CH2CN 4-3blend  80.2252
(CH3)2CO v=019-18 82.35372270
CH3OCHO v=018-19 83.57376700 
(CH3)2CO v=018-18 87.68164780
CH2CHCN v15=1-53-54 83.9757
