frec(GHz)   Temperatura[mK]   cont_sinlineas
      71.7195       0.000000       0.000000
      71.7508       0.000000       0.000000
      71.7820       0.000000       0.000000
      71.8133       0.000000       0.000000
      71.8445       0.000000       0.000000
      71.8758       0.000000       0.000000
      71.9070       0.000000       0.000000
      71.9383       0.000000       0.000000
      71.9695       0.000000       0.000000
      72.0008       0.000000       0.000000
      72.0320       0.000000       0.000000
      72.0633       0.000000       0.000000
      72.0945       0.000000       0.000000
      72.1258       0.000000       0.000000
      72.1570       0.000000       0.000000
      72.1883       0.000000       0.000000
      72.2195       0.000000       0.000000
      72.2508       0.000000       0.000000
      72.2820       0.000000       0.000000
      72.3133       0.000000       0.000000
      72.3445       0.000000       0.000000
      72.3758       0.000000       0.000000
      72.4070       0.000000       0.000000
      72.4383       0.000000       0.000000
      72.4695       0.000000       0.000000
      72.5008       0.000000       0.000000
      72.5320       0.000000       0.000000
      72.5633       0.000000       0.000000
      72.5945       0.000000       0.000000
      72.6258       0.000000       0.000000
      72.6570       0.000000       0.000000
      72.6883       0.000000       0.000000
      72.7195       0.000000       0.000000
      72.7508       0.000000       0.000000
      72.7820       0.000000       0.000000
      72.8133       0.000000       0.000000
      72.8445       0.000000       0.000000
      72.8758       0.000000       0.000000
      72.9070     -0.0935798     -0.0935798
      72.9383       0.225208       0.225208
      72.9695      0.0124791      0.0124791
      73.0008    -0.00438120    -0.00438120
      73.0320       -1.07706       -1.07706
      73.0633        1.49432        1.49432
      73.0945      -0.584070      -0.584070
      73.1258       0.227161       0.227161
      73.1570       0.290028       0.290028
      73.1883       -1.27568       -1.27568
      73.2195       0.802342       0.802342
      73.2508      -0.154625      -0.154625
      73.2820     -0.0395248     -0.0395248
      73.3133        1.21258        1.21258
      73.3445       -1.64961       -1.64961
      73.3758       0.949128       0.949128
      73.4070      -0.119544      -0.119544
      73.4383      -0.923162      -0.923162
      73.4695       0.515172       0.515172
      73.5008        1.15183       0.607836
      73.5320        1.84479     -0.0914702
      73.5633        2.91809      -0.589608
      73.5945      -0.500377      -0.500377
      73.6258        1.42526        1.42526
      73.6570     -0.0976431     -0.0976431
      73.6883      -0.769313      -0.769313
      73.7195       0.184943       0.184943
      73.7508      -0.870811      -0.870811
      73.7820        1.22233        1.22233
      73.8133      0.0237774      0.0237774
      73.8445      -0.628731      -0.628731
      73.8758       0.362232       0.362232
      73.9070     -0.0247157     -0.0247157
      73.9383      -0.617082      -0.617082
      73.9695        1.88921        1.88921
      74.0008       -1.24573       -1.24573
      74.0320        2.89518      -0.495215
      74.0633       0.292854      0.0832916
      74.0945      -0.258807       0.138067
      74.1258        1.51705     -0.0500730
      74.1570      0.0339739      0.0339739
      74.1883        1.25874        1.25874
      74.2195       -1.62080       -1.62080
      74.2508       0.540585       0.540585
      74.2820      -0.502697      -0.502697
      74.3133        1.13784        1.13784
      74.3445      -0.422845      -0.422845
      74.3758      -0.422434      -0.422434
      74.4070      -0.209834      -0.209834
      74.4383       0.414963       0.414963
      74.4695        1.06271        1.06271
      74.5008      -0.981913      -0.981913
      74.5320        1.43550      -0.369391
      74.5633        5.61434      0.0708988
      74.5945        6.15526     -0.0578680
      74.6258        4.85428       0.134682
      74.6570       0.459401       0.301614
      74.6883        1.24260        1.24260
      74.7195       -1.88100       -1.88100
      74.7508        1.09891        1.09891
      74.7820       -2.03718       -2.03718
      74.8133        1.79124        1.79124
      74.8445       -1.37391       -1.37391
      74.8758        1.64611        1.64611
      74.9070      -0.133997      -0.133997
      74.9383      -0.240214      -0.240214
      74.9695      -0.397327      -0.397327
      75.0008      -0.345050      -0.345050
      75.0320       0.414515       0.414515
      75.0633        1.14890        1.14890
      75.0945       -2.24407       -2.24407
      75.1258        1.77995        1.77995
      75.1570      -0.203992      -0.203992
      75.1883       -1.57800       -1.57800
      75.2195        1.92468        1.92468
      75.2508       -1.08320       -1.08320
      75.2820        1.20779        1.20779
      75.3133      -0.962618      -0.962618
      75.3445       -1.04212       -1.04212
      75.3758        1.71204        1.71204
      75.4070      -0.610922      -0.610922
      75.4383       0.136892       0.136892
      75.4695       0.329122       0.329122
      75.5008      -0.921303      -0.921303
      75.5320       0.484899       0.484899
      75.5633       0.161836       0.161836
      75.5945      -0.422404      -0.422404
      75.6258       0.665117       0.665117
