Species,Chemical Name,"Freq-GHz(rest frame,redshifted)",Resolved QNs,CDMS/JPL Intensity
CNv=0,Cyanide Radical,113.1233687,"N=-,J=/-/,F=/-/",-4.7119
CNv=0,Cyanide Radical,113.1233701,"N=-,J=/-/,F=/-/",-4.7118
CNv=0,Cyanide Radical,113.1441573,"N=-,J=/-/,F=/-/",-3.7989
CNv=0,Cyanide Radical,113.1704915,"N=-,J=/-/,F=/-/",-3.809
CNv=0,Cyanide Radical,113.1912787,"N=-,J=/-/,F=/-/",-3.6955
CNv=0,Cyanide Radical,113.4881202,"N=-,J=/-/,F=/-/",-3.6932
CNv=0,Cyanide Radical,113.4909702,"N=-,J=/-/,F=/-/",-3.2691
CNv=0,Cyanide Radical,113.4996443,"N=-,J=/-/,F=/-/",-3.7962
CNv=0,Cyanide Radical,113.5089074,"N=-,J=/-/,F=/-/",-3.8065
CNv=0,Cyanide Radical,113.5204215,"N=-,J=/-/,F=/-/",-4.7091
CNv=0,Cyanide Radical,113.5204315,"N=-,J=/-/,F=/-/",-4.709
